username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
simonwbrown;2016-05-04 20:50;0;0;"@bryanadams @LouiseMensch @ZacGoldsmith He wants to stick to the mediocre tunes.";;@bryanadams @LouiseMensch @ZacGoldsmith;;"727842740407537664";https://twitter.com/simonwbrown/status/727842740407537664
TessAlps;2016-05-04 20:50;0;0;"@LucianTrestler Buy shares. Such a long list: Jeremy Clarkson, Zac Goldsmith , Bernie Eccleston etc etc ...";;@LucianTrestler;;"727842718018355200";https://twitter.com/TessAlps/status/727842718018355200
richard75941061;2016-05-04 20:49;0;0;"@xeccar @Reprobatemum @ZacGoldsmith to complain about BitTorrent sites undercutting me and using new tech. to circumvent laws + regs? 2b/2";;@xeccar @Reprobatemum @ZacGoldsmith;;"727842687555088384";https://twitter.com/richard75941061/status/727842687555088384
tvtenterhooks;2016-05-04 20:49;0;0;"@Fahrenheit211 @ZacGoldsmith @annispice nah, you don't understand. Zac plays on racial divides and tries to exploit these for his own means";;@Fahrenheit211 @ZacGoldsmith @annispice;;"727842679170707456";https://twitter.com/tvtenterhooks/status/727842679170707456
kevinrye;2016-05-04 20:49;0;0;"This is to show that Zac Goldsmith isn't *really* a racist is it? If I was your PR Monty I'd advise you to avoid. https:// twitter.com/MontyPanesar/s tatus/727816767138058240 …";;;;"727842657251299328";https://twitter.com/kevinrye/status/727842657251299328
ZacGoldsmith;2016-05-04 20:49;35;68;"Catching up with news on the #BackZac2016 bus. Thank you to everyone working so hard on my campaign. We can do this! pic.twitter.com/kCMN4FY5dv";;;#BackZac2016;"727842650687213569";https://twitter.com/ZacGoldsmith/status/727842650687213569
GrahameLucas;2016-05-04 20:49;2;0;"#Cameron , #Johnson urge Londoners to back Zac Goldsmith for #mayor http:// bit.ly/21wpX8V pic.twitter.com/2mhUHcYGtP";;;#Cameron #Johnson #mayor;"727842490594820098";https://twitter.com/GrahameLucas/status/727842490594820098
tvtenterhooks;2016-05-04 20:48;0;0;"@ZacGoldsmith mate, if I worked 17 hours and still lost by a landslide I would be vexed. Roflcopter. Lolslide!";;@ZacGoldsmith;;"727842391001055233";https://twitter.com/tvtenterhooks/status/727842391001055233
frances_lilley;2016-05-04 20:48;0;0;"#zacgoldsmith #PMQ https:// twitter.com/JeremyCorbyn4P M/status/727820573234106370 …";;;#zacgoldsmith #PMQ;"727842344431702016";https://twitter.com/frances_lilley/status/727842344431702016
ashley_brown;2016-05-04 20:48;0;0;"Wow. The Evening Standard either can't read, or are being paid to lie about @ZacGoldsmith 's policies. Free parking.. https:// twitter.com/RossLydall/sta tus/727822300750487552 …";;@ZacGoldsmith;;"727842334034022400";https://twitter.com/ashley_brown/status/727842334034022400
pasties4me1;2016-05-04 20:48;0;0;"@ZacGoldsmith Will you commit to a ban on basement developments in listed residential buildings ?";;@ZacGoldsmith;;"727842314060697600";https://twitter.com/pasties4me1/status/727842314060697600
goonerray67;2016-05-04 20:48;0;0;"@ZacGoldsmith I truly hope you will stick to that,if we don't get an even playing field we won't be around in ten years.";;@ZacGoldsmith;;"727842308700426241";https://twitter.com/goonerray67/status/727842308700426241
Auntie_CarolG;2016-05-04 20:48;0;0;"@bryanadams @ZacGoldsmith I would have agreed with you a year or two ago. Sadly he has got Tory disease and gone rogue. #NastyParty";;@bryanadams @ZacGoldsmith;#NastyParty;"727842282926448641";https://twitter.com/Auntie_CarolG/status/727842282926448641
AnGobanSaor;2016-05-04 20:48;0;1;"The ONLY reason for even considering @ZacGoldsmith . https:// twitter.com/kthopkins/stat us/727810615968972800 …";;@ZacGoldsmith;;"727842256313552896";https://twitter.com/AnGobanSaor/status/727842256313552896
